Rk,Player,WS,MP/G,Season,Age,Team,G,GS,AS,MP,MPG,FG,FGA,2P,2PA,2pshare,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
605,Elliot Perry,-0.1,24,2001-02,32,MEM,2,0,0,48,24,5,10,5,10,1,0,0,1,2,0,4,4,7,3,0,7,6,11,0.5,0.5,,0.5,0.506,0.5,G
403,T.J. McConnell,1.9,19.8,2015-16,23,PHI,81,17,0,1606,19.82716049,218,464,187,375,0.8081896552,31,89,26,41,43,207,250,367,95,10,140,114,493,0.47,0.499,0.348,0.634,0.511,0.503,G
230,T.J. McConnell,3.8,26.3,2016-17,24,PHI,81,51,0,2133,26.33333333,236,512,225,457,0.892578125,11,55,73,90,39,212,251,534,134,10,159,139,556,0.461,0.492,0.2,0.811,0.504,0.472,G
224,T.J. McConnell,3.8,22.4,2017-18,25,PHI,76,1,0,1706,22.44736842,210,421,183,359,0.8527315914,27,62,31,39,37,189,226,303,92,13,112,122,478,0.499,0.51,0.435,0.795,0.545,0.531,G
29,Rajon Rondo,9.6,36.6,2009-10,23,BOS,81,81,1,2963,36.58024691,459,904,442,824,0.9115044248,17,80,175,282,100,260,360,794,189,11,246,198,1110,0.508,0.536,0.213,0.621,0.54,0.517,G
310,T.J. McConnell,2.9,19.3,2018-19,26,PHI,76,3,0,1470,19.34210526,220,419,206,377,0.8997613365,14,42,29,37,28,146,174,258,79,17,91,105,483,0.525,0.546,0.333,0.784,0.555,0.542,G
26,Rajon Rondo,9.9,33,2008-09,22,BOS,80,80,0,2642,33.025,383,759,368,711,0.9367588933,15,48,172,268,100,316,416,659,149,11,209,193,953,0.505,0.518,0.313,0.642,0.543,0.514,G
60,Rajon Rondo,7.2,29.9,2007-08,21,BOS,77,77,0,2306,29.94805195,351,713,346,694,0.9733520337,5,19,107,175,78,244,322,393,129,13,147,187,814,0.492,0.499,0.263,0.611,0.515,0.496,G
83,Rajon Rondo,6.6,37.2,2010-11,24,BOS,68,68,1,2527,37.16176471,318,670,308,627,0.9358208955,10,43,75,132,87,210,297,760,153,11,234,120,721,0.475,0.491,0.233,0.568,0.495,0.482,G
271,T.J. Ford,3.3,23.5,2007-08,24,TOR,51,26,0,1199,23.50980392,246,524,231,473,0.9026717557,15,51,110,125,23,77,100,313,54,0,102,93,617,0.469,0.488,0.294,0.88,0.533,0.484,G
297,Avery Johnson,3,19.9,2001-02,36,DALDEN,68,13,0,1352,19.88235294,207,432,207,427,0.9884259259,0,5,121,163,14,55,69,286,40,9,76,86,535,0.479,0.485,0,0.742,0.531,0.479,G
394,Jacque Vaughn,2,21.1,2002-03,27,ORL,80,48,0,1686,21.075,184,411,176,377,0.9172749392,8,34,97,125,26,92,118,232,64,2,97,169,473,0.448,0.467,0.235,0.776,0.508,0.457,G
158,Rajon Rondo,4.9,36.9,2011-12,25,BOS,53,53,1,1957,36.9245283,256,572,246,530,0.9265734266,10,42,108,181,62,195,257,620,95,3,193,99,630,0.448,0.464,0.238,0.597,0.483,0.456,G
42,Terrell Brandon,8.5,36.2,2000-01,30,MIN,78,78,0,2821,36.16666667,511,1134,478,1043,0.9197530864,33,91,195,224,60,238,298,583,161,21,155,138,1250,0.451,0.458,0.363,0.871,0.507,0.465,G
417,Jacque Vaughn,1.8,19.9,2004-05,29,NJN,71,34,0,1410,19.85915493,146,325,141,310,0.9538461538,5,15,76,91,17,90,107,135,41,1,62,138,373,0.449,0.455,0.333,0.835,0.511,0.457,G
333,Avery Johnson,2.6,23.5,2000-01,35,SAS,55,20,0,1290,23.45454545,134,300,133,294,0.98,1,6,41,60,21,64,85,237,33,4,60,90,310,0.447,0.452,0.167,0.683,0.475,0.448,G
198,T.J. Ford,4.3,29.9,2006-07,23,TOR,75,71,0,2243,29.90666667,393,902,372,833,0.9235033259,21,69,240,293,53,183,236,595,101,8,231,186,1047,0.436,0.447,0.304,0.819,0.508,0.447,G
231,Speedy Claxton,3.7,30.1,2004-05,26,GSWNOH,62,47,0,1866,30.09677419,257,611,246,550,0.9001636661,11,61,187,254,37,147,184,374,109,8,119,184,712,0.421,0.447,0.18,0.736,0.493,0.43,G
455,Kenny Anderson,1.5,20.6,2003-04,33,IND,44,31,0,905,20.56818182,113,256,112,252,0.984375,1,4,35,48,19,62,81,125,26,5,50,73,262,0.441,0.444,0.25,0.729,0.473,0.443,G
453,Jacque Vaughn,1.5,15.4,2005-06,30,NJN,80,6,0,1234,15.425,107,245,106,239,0.9755102041,1,6,59,81,16,75,91,123,42,1,52,140,274,0.437,0.444,0.167,0.728,0.488,0.439,G
141,Kenny Anderson,5.2,32,2001-02,31,BOS,76,76,0,2430,31.97368421,312,716,303,683,0.9539106145,9,33,98,132,57,218,275,403,141,10,119,210,731,0.436,0.444,0.273,0.742,0.472,0.442,G
201,Speedy Claxton,4.2,26.6,2003-04,25,GSW,60,29,0,1595,26.58333333,224,524,220,502,0.9580152672,4,22,182,224,38,118,156,267,97,9,102,146,634,0.427,0.438,0.182,0.813,0.509,0.431,G
411,Brevin Knight,1.8,28.3,2006-07,31,CHA,45,25,0,1273,28.28888889,152,363,151,345,0.9504132231,1,18,103,128,14,101,115,296,67,3,95,113,408,0.419,0.438,0.056,0.805,0.487,0.42,G
232,Terrell Brandon,3.7,30.1,2001-02,31,MIN,32,28,0,962,30.0625,155,365,151,342,0.9369863014,4,23,83,84,17,76,93,264,52,6,43,49,397,0.425,0.442,0.174,0.988,0.494,0.43,G
435,Brevin Knight,1.7,18.5,2003-04,28,MILPHOWAS,56,13,0,1037,18.51785714,105,246,103,238,0.9674796748,2,8,49,65,14,98,112,204,84,1,72,107,261,0.427,0.433,0.25,0.754,0.475,0.431,G
442,Kenny Anderson,1.6,18.6,2002-03,32,NOHSEA,61,2,0,1135,18.60655738,163,382,162,375,0.9816753927,1,7,45,57,31,101,132,198,58,5,75,106,372,0.427,0.432,0.143,0.789,0.457,0.428,G
181,Brevin Knight,4.5,29.5,2004-05,29,CHA,66,61,0,1944,29.45454545,248,587,245,567,0.9659284497,3,20,167,196,21,149,170,591,131,5,147,192,666,0.422,0.432,0.15,0.852,0.495,0.425,G
579,Brevin Knight,0.2,16.9,2002-03,27,MEM,55,4,0,928,16.87272727,97,228,95,220,0.9649122807,2,8,20,37,15,66,81,233,69,2,94,123,216,0.425,0.432,0.25,0.541,0.442,0.43,G
439,Jacque Vaughn,1.6,15.4,2007-08,32,SAS,74,9,0,1139,15.39189189,121,283,118,273,0.964664311,3,10,61,80,13,61,74,159,23,1,54,97,306,0.428,0.432,0.3,0.763,0.481,0.433,G
353,Rajon Rondo,2.4,23.5,2006-07,20,BOS,78,25,0,1831,23.47435897,188,450,182,421,0.9355555556,6,29,119,184,74,218,292,297,128,8,137,181,501,0.418,0.432,0.207,0.647,0.472,0.424,G
433,Anthony Carter,1.7,22.6,2000-01,25,MIA,72,6,0,1630,22.63888889,195,480,189,440,0.9166666667,6,40,65,103,46,134,180,268,73,10,119,154,461,0.406,0.43,0.15,0.631,0.439,0.413,G
468,Brevin Knight,1.4,21.7,2001-02,26,MEM,53,11,0,1151,21.71698113,141,334,139,326,0.9760479042,2,8,87,115,11,98,109,302,79,7,111,135,371,0.422,0.426,0.25,0.757,0.482,0.425,G
294,Speedy Claxton,3,28.4,2005-06,27,NOK,71,3,0,2019,28.43661972,304,736,287,673,0.9144021739,17,63,246,320,39,154,193,339,108,6,154,177,871,0.413,0.426,0.27,0.769,0.497,0.425,G
325,Speedy Claxton,2.8,22.8,2001-02,23,PHI,67,18,0,1528,22.80597015,181,452,177,419,0.9269911504,4,33,114,136,46,114,160,198,95,6,95,145,480,0.4,0.422,0.121,0.838,0.469,0.405,G
485,Speedy Claxton,1.2,15.7,2002-03,24,SAS,30,0,0,471,15.7,67,145,67,134,0.924137931,0,11,39,57,22,34,56,75,22,7,35,43,173,0.462,0.5,0,0.684,0.509,0.462,G
577,Kenny Anderson,0.2,17.3,2004-05,34,ATLLAC,43,20,0,743,17.27906977,85,201,79,188,0.9353233831,6,13,27,37,24,64,88,103,33,0,49,87,203,0.423,0.42,0.462,0.73,0.467,0.438,G
625,Ish Smith,-0.4,17.2,2023-24,35,CHO,43,5,0,741,17.23255814,66,158,62,150,0.9493670886,4,8,3,4,11,65,76,145,17,4,47,49,139,0.418,0.413,0.5,0.75,0.435,0.43,G
