Rk,Player,Ht,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Zach Edey,7-4,2024-25,22,MEM,66,55,0,1416,251,433,233,381,18,52,90,127,232,316,548,65,36,85,88,182,610,0.58,0.612,0.346,0.709,0.624,0.6,C,edeyza01
2,Bol Bol,7-3,2024-25,25,PHO,36,10,0,448,96,183,64,90,32,93,20,26,20,84,104,22,9,25,20,20,244,0.525,0.711,0.344,0.769,0.627,0.612,F-C,bolbo01
3,Victor Wembanyama,7-3,2024-25,21,SAS,46,46,1,1527,408,857,266,454,142,403,158,189,82,424,506,168,52,176,149,105,1116,0.476,0.586,0.352,0.836,0.594,0.559,C-F,wembavi01
4,Moses Brown,7-2,2024-25,25,DALIND,13,2,0,119,34,49,34,49,0,0,8,11,12,32,44,2,6,4,11,17,76,0.694,0.694,,0.727,0.706,0.694,C,brownmo01
5,Donovan Clingan,7-2,2024-25,20,POR,67,37,0,1324,180,334,166,285,14,49,62,104,217,310,527,77,34,110,72,189,436,0.539,0.582,0.286,0.596,0.574,0.56,C,clingdo01
6,Luke Kornet,7-2,2024-25,29,BOS,73,16,0,1361,187,280,187,277,0,3,67,97,190,198,388,117,36,71,31,119,441,0.668,0.675,0,0.691,0.683,0.668,C-F,kornelu01
7,Kristaps Porziņģis,7-2,2024-25,29,BOS,42,42,0,1210,277,574,174,324,103,250,161,199,68,216,284,87,31,63,53,116,818,0.483,0.537,0.412,0.809,0.618,0.572,F-C,porzikr01
8,Rudy Gobert,7-1,2024-25,32,MIN,72,72,0,2388,341,510,341,510,0,0,184,273,265,520,785,127,56,104,89,182,866,0.669,0.669,,0.674,0.687,0.669,C,goberru01
9,Chet Holmgren,7-1,2024-25,22,OKC,32,32,0,877,167,341,123,225,44,116,101,134,48,209,257,63,23,71,56,72,479,0.49,0.547,0.379,0.754,0.599,0.554,F-C,holmgch01
10,Jay Huff,7-1,2024-25,26,MEM,64,2,0,748,157,305,76,105,81,200,44,56,30,99,129,38,16,56,34,78,439,0.515,0.724,0.405,0.786,0.666,0.648,F-C,huffja01
11,Christian Koloko,7-1,2024-25,24,LAL,37,0,0,342,40,66,40,62,0,4,10,14,35,57,92,16,8,16,12,44,90,0.606,0.645,0,0.714,0.624,0.606,C,kolokch01
12,Dereck Lively II,7-1,2024-25,20,DAL,36,29,0,833,134,191,134,191,0,0,46,73,104,166,270,85,20,56,41,100,314,0.702,0.702,,0.63,0.704,0.702,C,livelde01
13,Brook Lopez,7-1,2024-25,36,MIL,80,80,0,2546,394,774,255,401,139,373,114,138,113,288,401,143,50,148,84,171,1041,0.509,0.636,0.373,0.826,0.624,0.599,C,lopezbr01
14,Deandre Ayton,7-0,2024-25,26,POR,40,40,0,1206,265,468,259,436,6,32,40,60,124,282,406,64,31,39,69,88,576,0.566,0.594,0.188,0.667,0.583,0.573,C,aytonde01
15,Mo Bamba,7-0,2024-25,26,LACNOP,32,2,0,413,52,112,37,58,15,54,19,27,32,113,145,18,9,31,20,56,138,0.464,0.638,0.278,0.704,0.557,0.531,C,bambamo01
16,Branden Carlson,7-0,2024-25,25,OKC,32,0,0,246,43,97,21,31,22,66,14,18,17,37,54,14,5,21,7,22,122,0.443,0.677,0.333,0.778,0.581,0.557,C,carlsbr01
17,Joel Embiid,7-0,2024-25,30,PHI,19,19,0,574,140,315,117,238,23,77,149,169,36,119,155,85,14,18,62,42,452,0.444,0.492,0.299,0.882,0.58,0.481,C,embiijo01
18,Isaiah Hartenstein,7-0,2024-25,26,OKC,57,53,0,1590,279,480,279,461,0,19,79,117,163,448,611,219,47,62,96,171,637,0.581,0.605,0,0.675,0.599,0.581,F,harteis01
19,Jaxson Hayes,7-0,2024-25,24,LAL,56,35,0,1093,161,223,161,220,0,3,61,98,78,191,269,58,31,51,43,136,383,0.722,0.732,0,0.622,0.72,0.722,F,hayesja02
20,Ariel Hukporti,7-0,2024-25,22,NYK,25,1,0,217,21,31,21,31,0,0,6,13,14,37,51,11,1,15,21,32,48,0.677,0.677,,0.462,0.654,0.677,C,hukpoar01
21,Kylor Kelley,7-0,2024-25,27,DALNOP,11,2,0,126,14,22,14,22,0,0,6,10,12,27,39,5,1,3,4,15,34,0.636,0.636,,0.6,0.644,0.636,F,kelleky01
22,Walker Kessler,7-0,2024-25,23,UTA,58,58,0,1740,278,419,272,385,6,34,79,152,266,441,707,97,36,138,86,130,641,0.663,0.706,0.176,0.52,0.66,0.671,C,kesslwa01
23,Alex Len,7-0,2024-25,31,LALSAC,46,7,0,380,32,63,30,54,2,9,8,17,38,57,95,38,9,21,20,56,74,0.508,0.556,0.222,0.471,0.525,0.524,C,lenal01
24,Lauri Markkanen,7-0,2024-25,27,UTA,47,47,0,1476,296,700,158,301,138,399,162,185,72,206,278,70,33,17,66,79,892,0.423,0.525,0.346,0.876,0.571,0.521,F-C,markkla01
25,Jusuf Nurkić,7-0,2024-25,30,CHOPHO,51,32,0,1063,168,352,136,247,32,105,85,128,85,313,398,115,40,34,97,130,453,0.477,0.551,0.305,0.664,0.555,0.523,C,nurkiju01
26,Jakob Poeltl,7-0,2024-25,29,TOR,57,56,0,1686,363,579,362,576,1,3,97,144,189,358,547,158,66,71,111,176,824,0.627,0.628,0.333,0.674,0.641,0.628,C,poeltja01
27,Quinten Post,7-0,2024-25,24,GSW,42,14,0,686,123,274,50,95,73,179,21,27,35,113,148,56,16,18,33,83,340,0.449,0.526,0.408,0.778,0.595,0.582,F,postqu01
28,Neemias Queta,7-0,2024-25,25,BOS,62,6,0,863,132,203,132,200,0,3,46,61,89,147,236,45,18,42,40,106,310,0.65,0.66,0,0.754,0.674,0.65,C,quetane01
29,Nick Richards,7-0,2024-25,27,CHOPHO,57,43,0,1256,205,347,205,345,0,2,119,160,148,318,466,49,14,55,81,141,529,0.591,0.594,0,0.744,0.634,0.591,F-C,richani01
30,Liam Robbins,7-0,2024-25,25,MIL,13,0,0,57,2,8,2,6,0,2,5,10,7,5,12,2,2,2,6,9,9,0.25,0.333,0,0.5,0.363,0.25,F,robbili01
31,Mitchell Robinson,7-0,2024-25,26,NYK,17,3,0,290,37,56,37,56,0,0,13,19,52,49,101,13,16,18,10,26,87,0.661,0.661,,0.684,0.676,0.661,C,robinmi01
32,Orlando Robinson,7-0,2024-25,24,SACTOR,44,8,0,770,116,261,99,209,17,52,54,70,89,131,220,77,17,16,49,100,303,0.444,0.474,0.327,0.771,0.519,0.477,F,robinor01
