Rk,Player,Season,Tm,G,FG,FGA,FG%,FGX,3P,3PA,3P%,3PX,eFG%,Ast'd,%Ast'd,Player-additional
1,Giannis Antetokounmpo,2024-25,MIL,65,666,1016,0.656,350,0,0,,0,0.656,299,0.449,antetgi01
2,Shai Gilgeous-Alexander,2024-25,OKC,75,631,1078,0.585,447,0,0,,0,0.585,130,0.206,gilgesh01
3,Nikola Jokić,2024-25,DEN,68,603,958,0.629,355,0,0,,0,0.629,392,0.65,jokicni01
4,Ivica Zubac,2024-25,LAC,80,591,938,0.63,347,0,0,,0,0.63,415,0.702,zubaciv01
5,Alperen Şengün,2024-25,HOU,76,532,1015,0.524,483,0,0,,0,0.524,246,0.462,sengual01
6,Cade Cunningham,2024-25,DET,70,499,958,0.521,459,0,0,,0,0.521,107,0.214,cunnica01
7,Karl-Anthony Towns,2024-25,NYK,72,486,835,0.582,349,0,0,,0,0.582,282,0.58,townska01
8,Pascal Siakam,2024-25,IND,77,450,762,0.591,312,0,0,,0,0.591,264,0.587,siakapa01
9,Jarrett Allen,2024-25,CLE,80,447,625,0.715,178,0,0,,0,0.715,368,0.823,allenja01
10,LeBron James,2024-25,LAL,69,443,730,0.607,287,0,0,,0,0.607,179,0.404,jamesle01
11,Jaren Jackson Jr.,2024-25,MEM,73,440,812,0.542,372,0,0,,0,0.542,199,0.452,jacksja02
12,Domantas Sabonis,2024-25,SAC,68,440,690,0.638,250,0,0,,0,0.638,273,0.62,sabondo01
13,Bam Adebayo,2024-25,MIA,78,433,829,0.522,396,0,0,,0,0.522,264,0.61,adebaba01
14,Evan Mobley,2024-25,CLE,70,412,652,0.632,240,0,0,,0,0.632,263,0.638,mobleev01
15,Mikal Bridges,2024-25,NYK,81,402,670,0.6,268,0,0,,0,0.6,275,0.684,bridgmi01
16,Franz Wagner,2024-25,ORL,59,402,734,0.548,332,0,0,,0,0.548,184,0.458,wagnefr01
17,Jalen Williams,2024-25,OKC,68,399,724,0.551,325,0,0,,0,0.551,155,0.388,willija06
18,Nikola Vučević,2024-25,CHI,72,393,661,0.595,268,0,0,,0,0.595,295,0.751,vucevni01
19,Jalen Brunson,2024-25,NYK,65,387,702,0.551,315,0,0,,0,0.551,93,0.24,brunsja01
20,Anthony Davis,2024-25,TOT,51,378,666,0.568,288,0,0,,0,0.568,231,0.611,davisan02
21,DeMar DeRozan,2024-25,SAC,76,378,694,0.545,316,0,0,,0,0.545,121,0.32,derozde01
22,Jalen Duren,2024-25,DET,77,377,545,0.692,168,0,0,,0,0.692,235,0.623,durenja01
23,Devin Booker,2024-25,PHO,73,376,681,0.552,305,0,0,,0,0.552,160,0.426,bookede01
24,Tyler Herro,2024-25,MIA,77,375,655,0.573,280,0,0,,0,0.573,142,0.379,herroty01
25,Dyson Daniels,2024-25,ATL,75,371,674,0.55,303,0,0,,0,0.55,191,0.515,daniedy01
26,Scottie Barnes,2024-25,TOR,65,367,696,0.527,329,0,0,,0,0.527,167,0.455,barnesc01
27,Christian Braun,2024-25,DEN,77,367,553,0.664,186,0,0,,0,0.664,284,0.774,braunch01
