Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,ID
432,Mitchell Robinson,26,NYK,C,17,3,290,0.661,1.1,1,0.893,0.107,0,0,0,0.661,0.72,0.167,,,,0.378,,0.411,20,,,0,0,,robinmi01
545,Tolu Smith,24,DET,PF,1,0,22,0.667,1.6,1,0.889,0.111,0,0,0,0.667,0.75,0,,,,0.667,,0,0,,,0,0,,smithto05
502,Isaiah Jackson,23,IND,C,5,1,84,0.609,1.9,1,0.783,0.217,0,0,0,0.609,0.611,0.6,,,,0.857,,0.304,6,,,0,0,,jacksis01
547,Adama Sanogo,22,CHI,C,4,0,21,0.571,2.1,1,0.714,0.286,0,0,0,0.571,0.6,0.5,,,,0.5,,0.143,0,,,0,0,,sanogad01
287,Adem Bona,21,PHI,C,58,11,905,0.703,2.3,0.995,0.755,0.229,0.01,0,0.005,0.707,0.731,0.659,0,,0,0.696,,0.401,64,1,0,0,0,,bonaad01
327,DeAndre Jordan,36,DEN,C,56,5,691,0.65,2.3,1,0.686,0.314,0,0,0,0.65,0.76,0.409,,,,0.714,,0.514,58,,,0,0,,jordade01
36,Rudy Gobert,32,MIN,C,72,72,2388,0.669,2.4,1,0.757,0.218,0.022,0.004,0,0.669,0.79,0.324,0,0,,0.707,,0.494,225,,,0,0,DPOY-13DEF2,goberru01
85,Jalen Duren,21,DET,C,78,78,2034,0.692,2.5,1,0.663,0.332,0.004,0.002,0,0.692,0.76,0.558,0.5,1,,0.624,,0.441,219,,,0,0,,durenja01
341,Jericho Sims,26,2TM,C,53,5,632,0.634,2.5,1,0.718,0.239,0.042,0,0,0.634,0.725,0.412,0.333,,,0.8,,0.577,35,,,0,0,,simsje01
231,Daniel Gafford,26,DAL,C,57,31,1226,0.702,2.6,1,0.69,0.298,0.012,0,0,0.702,0.748,0.6,0.6,,,0.721,,0.325,113,,,0,0,,gaffoda01
97,Yves Missi,20,NOP,C,73,67,1956,0.547,2.8,0.998,0.667,0.311,0.018,0.002,0.002,0.548,0.619,0.405,0.444,0,0,0.677,,0.297,116,0,,1,0,,missiyv01
204,Luke Kornet,29,BOS,C,73,16,1361,0.668,2.8,0.989,0.732,0.225,0.029,0.004,0.011,0.675,0.761,0.429,0.375,1,0,0.695,,0.354,86,0.333,0,0,0,,kornelu01
